"db","group","conc_m3","min_d","max_d","mp","stationid"
"(1e+03,1.1e+03]","bv55c11",0,1000,1100,1050,"st3"
"(1e+03,1.1e+03]","bv55c11",0,1000,1100,1050,"st3"
"(1e+03,1.1e+03]","bv55c11",0,1000,1100,1050,"st3"
"(2.2e+03,2.4e+03]","bv55c11",0.454772840965938,2200,2400,2300,"st3"
"(2.2e+03,2.4e+03]","bv55c11",0,2200,2400,2300,"st3"
"(2.2e+03,2.4e+03]","bv55c11",0,2200,2400,2300,"st3"
"(2.2e+03,2.4e+03]","bv55c11",0,2200,2400,2300,"st3"
"(2.2e+03,2.4e+03]","bv55c11",0,2200,2400,2300,"st3"
"(2.4e+03,2.6e+03]","bv55c11",0.222054447750588,2400,2600,2500,"st3"
"(2.4e+03,2.6e+03]","bv55c11",0,2400,2600,2500,"st3"
"(2.4e+03,2.6e+03]","bv55c11",0,2400,2600,2500,"st3"
"(2.4e+03,2.6e+03]","bv55c11",0,2400,2600,2500,"st3"
"(2.4e+03,2.6e+03]","bv55c11",0,2400,2600,2500,"st3"
"(2.6e+03,2.8e+03]","bv55c11",0.225133954703048,2600,2800,2700,"st3"
"(2.6e+03,2.8e+03]","bv55c11",0,2600,2800,2700,"st3"
"(2.6e+03,2.8e+03]","bv55c11",0,2600,2800,2700,"st3"
"(2.6e+03,2.8e+03]","bv55c11",0,2600,2800,2700,"st3"
"(2.6e+03,2.8e+03]","bv55c11",0,2600,2800,2700,"st3"
"(2.8e+03,3e+03]","bv55c11",0.891702706317714,2800,3000,2900,"st3"
"(2.8e+03,3e+03]","bv55c11",0,2800,3000,2900,"st3"
"(2.8e+03,3e+03]","bv55c11",0,2800,3000,2900,"st3"
"(2.8e+03,3e+03]","bv55c11",0,2800,3000,2900,"st3"
"(2.8e+03,3e+03]","bv55c11",0,2800,3000,2900,"st3"
"(200,300]","bv55c11",0.425007437630158,200,300,250,"st3"
"(200,300]","bv55c11",0,200,300,250,"st3"
"(200,300]","bv55c11",0,200,300,250,"st3"
"(200,300]","bv55c11",0,200,300,250,"st3"
"(200,300]","bv55c11",0,200,300,250,"st3"
"(2e+03,2.2e+03]","bv55c11",0.225917223929152,2000,2200,2100,"st3"
"(2e+03,2.2e+03]","bv55c11",0,2000,2200,2100,"st3"
"(2e+03,2.2e+03]","bv55c11",0,2000,2200,2100,"st3"
"(2e+03,2.2e+03]","bv55c11",0,2000,2200,2100,"st3"
"(2e+03,2.2e+03]","bv55c11",0,2000,2200,2100,"st3"
"(3.2e+03,3.4e+03]","bv55c11",0,3200,3400,3300,"st3"
"(3.2e+03,3.4e+03]","bv55c11",0,3200,3400,3300,"st3"
"(3.2e+03,3.4e+03]","bv55c11",0,3200,3400,3300,"st3"
"(3.2e+03,3.4e+03]","bv55c11",0,3200,3400,3300,"st3"
"(3.2e+03,3.4e+03]","bv55c11",0,3200,3400,3300,"st3"
"(3.4e+03,3.6e+03]","bv55c11",0.224799928064023,3400,3600,3500,"st3"
"(3.4e+03,3.6e+03]","bv55c11",0.224799928064023,3400,3600,3500,"st3"
"(3.4e+03,3.6e+03]","bv55c11",0,3400,3600,3500,"st3"
"(3.4e+03,3.6e+03]","bv55c11",0,3400,3600,3500,"st3"
"(3.4e+03,3.6e+03]","bv55c11",0,3400,3600,3500,"st3"
"(3.6e+03,3.8e+03]","bv55c11",0,3600,3800,3700,"st3"
"(3.6e+03,3.8e+03]","bv55c11",0,3600,3800,3700,"st3"
"(3.6e+03,3.8e+03]","bv55c11",0,3600,3800,3700,"st3"
"(3.6e+03,3.8e+03]","bv55c11",0,3600,3800,3700,"st3"
"(3.6e+03,3.8e+03]","bv55c11",0,3600,3800,3700,"st3"
"(3.8e+03,4e+03]","bv55c11",0,3800,4000,3900,"st3"
"(3.8e+03,4e+03]","bv55c11",0,3800,4000,3900,"st3"
"(3.8e+03,4e+03]","bv55c11",0,3800,4000,3900,"st3"
"(3.8e+03,4e+03]","bv55c11",0,3800,4000,3900,"st3"
"(3.8e+03,4e+03]","bv55c11",0,3800,4000,3900,"st3"
"(300,400]","bv55c11",0,300,400,350,"st3"
"(300,400]","bv55c11",0,300,400,350,"st3"
"(300,400]","bv55c11",0,300,400,350,"st3"
"(300,400]","bv55c11",0,300,400,350,"st3"
"(300,400]","bv55c11",0,300,400,350,"st3"
"(3e+03,3.2e+03]","bv55c11",0.229800533137237,3000,3200,3100,"st3"
"(3e+03,3.2e+03]","bv55c11",0.459601066274474,3000,3200,3100,"st3"
"(3e+03,3.2e+03]","bv55c11",0,3000,3200,3100,"st3"
"(3e+03,3.2e+03]","bv55c11",0,3000,3200,3100,"st3"
"(3e+03,3.2e+03]","bv55c11",0,3000,3200,3100,"st3"
"(4.2e+03,4.4e+03]","bv55c11",0,4200,4400,4300,"st3"
"(4.2e+03,4.4e+03]","bv55c11",0,4200,4400,4300,"st3"
"(4.2e+03,4.4e+03]","bv55c11",0,4200,4400,4300,"st3"
"(4.2e+03,4.4e+03]","bv55c11",0,4200,4400,4300,"st3"
"(4.2e+03,4.4e+03]","bv55c11",0,4200,4400,4300,"st3"
"(4.4e+03,4.42e+03]","bv55c11",0,4400,4420,4410,"st3"
"(4.4e+03,4.42e+03]","bv55c11",0,4400,4420,4410,"st3"
"(4.4e+03,4.42e+03]","bv55c11",0,4400,4420,4410,"st3"
"(4.4e+03,4.42e+03]","bv55c11",0,4400,4420,4410,"st3"
"(4.4e+03,4.42e+03]","bv55c11",0,4400,4420,4410,"st3"
"(40,80]","bv55c11",0.557040998217469,40,80,60,"st3"
"(40,80]","bv55c11",1.11408199643494,40,80,60,"st3"
"(40,80]","bv55c11",0,40,80,60,"st3"
"(40,80]","bv55c11",0,40,80,60,"st3"
"(40,80]","bv55c11",0,40,80,60,"st3"
"(400,500]","bv55c11",0.433726578764747,400,500,450,"st3"
"(400,500]","bv55c11",0,400,500,450,"st3"
"(400,500]","bv55c11",0,400,500,450,"st3"
"(400,500]","bv55c11",0,400,500,450,"st3"
"(400,500]","bv55c11",0,400,500,450,"st3"
"(4e+03,4.2e+03]","bv55c11",0.218269125832151,4000,4200,4100,"st3"
"(4e+03,4.2e+03]","bv55c11",0,4000,4200,4100,"st3"
"(4e+03,4.2e+03]","bv55c11",0,4000,4200,4100,"st3"
"(4e+03,4.2e+03]","bv55c11",0,4000,4200,4100,"st3"
